movieId,imdbId,tmdbId
1,tt0114709,862
2,tt0113497,8844
3,tt0113228,15602
4,tt0114885,31357
5,tt0113041,11862
6,tt0113277,949
7,tt0114319,11860
8,tt0112302,45325
9,tt0114576,9091
10,tt0113189,710
11,tt0112346,9087
12,tt0112896,12110
13,tt0112453,21032
14,tt0113987,10858
15,tt0112760,1408
16,tt0112641,524
17,tt0114388,4584
18,tt0113101,5
19,tt0112281,9273
21,tt0113161,8012
22,tt0112722,1710
23,tt0112401,9691
24,tt0114168,12665
25,tt0113627,451
29,tt0112682,902
31,tt0112792,9909
32,tt0114746,63
34,tt0112431,9598
36,tt0112818,687
39,tt0112697,9603
41,tt0114279,31174
42,tt0112819,11443
43,tt0114272,35196
44,tt0113855,9312
45,tt0114681,577
46,tt0113347,11861
47,tt0114369,807
48,tt0114148,10530
50,tt0114814,629
52,tt0113819,11448
58,tt0110877,11010
60,tt0113419,11359
61,tt0116260,17182
62,tt0113862,2054
64,tt0118002,19760
65,tt0115683,9536
66,tt0116839,11525
69,tt0113118,10634
70,tt0116367,755
73,tt0113828,48750
74,tt0115644,20927
76,tt0114367,9102
79,tt0116731,9623
86,tt0118158,10534
88,tt0115697,13997
93,tt0114825,12158
94,tt0115639,9283
95,tt0115759,9208
97,tt0113247,406
99,tt0113283,63076
100,tt0115907,11062
102,tt0117102,47475
104,tt0116483,9614
105,tt0112579,688
107,tt0117110,10874
110,tt0112573,197
111,tt0075314,103
112,tt0113326,33542
122,tt0103859,11066
123,tt0109424,11104
125,tt0116324,2074
126,tt0110647,27793
135,tt0116130,9101
140,tt0118055,9302
141,tt0115685,11000
144,tt0112585,16388
145,tt0112442,9737
147,tt0112461,10474
150,tt0112384,568
151,tt0114287,11780
153,tt0112462,414
157,tt0109370,1775
158,tt0112642,8839
160,tt0112715,10329
161,tt0112740,8963
162,tt0109508,26564
163,tt0112851,8068
164,tt0112857,8512
165,tt0112864,1572
168,tt0113071,6520
169,tt0113114,9073
170,tt0113243,10428
172,tt0113481,9886
173,tt0113492,9482
175,tt0113540,9344
181,tt0113820,9070
185,tt0113957,1642
186,tt0113986,11472
188,tt0114194,11980
189,tt0114241,58372
191,tt0114345,10533
193,tt0114436,10802
196,tt0114508,9348
198,tt0114558,281
203,tt0114682,9090
204,tt0114781,3512
205,tt0114798,52856
207,tt0114887,9560
208,tt0114898,9804
213,tt0111579,50797
215,tt0112471,76
222,tt0112679,22625
223,tt0109445,2292
224,tt0112883,1909
225,tt0109635,8984
227,tt0109676,4954
230,tt0109642,11929
231,tt0109686,8467
232,tt0111797,10451
233,tt0109759,20156
235,tt0109707,522
236,tt0113117,397
239,tt0113198,15789
246,tt0110057,14275
247,tt0110005,1024
249,tt0110116,13701
252,tt0110099,11777
253,tt0110148,628
256,tt0110216,6280
258,tt0113538,37108
260,tt0076759,11
261,tt0110367,9587
262,tt0113670,19101
265,tt0103994,18183
266,tt0110322,4476
271,tt0113691,28313
277,tt0110527,10510
280,tt0113870,8438
281,tt0110684,11593
282,tt0110638,1945
288,tt0110632,241
290,tt0110729,527
292,tt0114069,6950
293,tt0110413,101
296,tt0110912,680
299,tt0110889,40156
300,tt0110932,11450
303,tt0114214,12106
306,tt0111495,110
307,tt0108394,108
308,tt0111507,109
313,tt0111333,22586
315,tt0111255,2636
316,tt0111282,2164
317,tt0111070,11395
318,tt0111161,278
319,tt0111149,9905
322,tt0114594,20306
325,tt0113936,27993
326,tt0110081,31439
327,tt0114614,9067
328,tt0114608,9059
329,tt0111280,193
332,tt0114852,12122
333,tt0114694,11381
334,tt0111590,32636
337,tt0108550,1587
338,tt0114857,9271
339,tt0114924,2064
340,tt0111667,19855
342,tt0110598,236
343,tt0112435,48287
344,tt0109040,3049
345,tt0109045,2759
348,tt0109348,11382
349,tt0109444,9331
350,tt0109446,10731
353,tt0109506,9495
355,tt0109813,888
356,tt0109830,13
357,tt0109831,712
360,tt0110093,10879
361,tt0110167,10660
362,tt0110213,10714
364,tt0110357,8587
367,tt0110475,854
368,tt0110478,9359
370,tt0110622,36593
371,tt0110771,12280
372,tt0110950,2788
374,tt0110989,11011
376,tt0110997,8987
377,tt0111257,1637
379,tt0111438,8831
380,tt0111503,36955
382,tt0111742,10395
383,tt0111756,12160
388,tt0112570,39953
393,tt0111301,11667
405,tt0110027,8011
410,tt0106220,2758
412,tt0106226,10436
414,tt0109067,46094
415,tt0106292,9409
419,tt0106400,11041
420,tt0109254,306
423,tt0109303,178
425,tt0109306,57834
426,tt0106452,4722
427,tt0106471,18215
428,tt0106489,1607
429,tt0109361,26391
431,tt0106519,6075
432,tt0109439,11310
434,tt0106582,9350
435,tt0106598,9612
437,tt0109480,26261
440,tt0106673,11566
441,tt0106677,9571
442,tt0106697,9739
445,tt0106873,26141
448,tt0106881,10443
451,tt0106926,18551
453,tt0106941,9024
454,tt0106918,37233
455,tt0106965,1634
456,tt0109842,13815
457,tt0106977,5503
459,tt0109890,2087
464,tt0107076,2019
466,tt0107144,9255
468,tt0112966,10612
471,tt0110074,11934
473,tt0110123,12475
474,tt0107206,9386
475,tt0107207,7984
477,tt0108551,15765
480,tt0107290,329
481,tt0107302,10909
485,tt0107362,9593
487,tt0110353,22317
489,tt0107478,12121
490,tt0107497,2246
491,tt0107501,10502
492,tt0107507,10440
493,tt0107554,9516
494,tt0116253,2320
497,tt0107616,11971
500,tt0107614,788
504,tt0110678,10447
507,tt0107808,9559
508,tt0107818,9800
509,tt0107822,713
511,tt0107889,18133
515,tt0107943,1245
517,tt0107969,7007
519,tt0107978,5550
520,tt0107977,8005
522,tt0105275,10412
524,tt0108002,14534
527,tt0108052,424
528,tt0111094,35233
529,tt0108065,14291
531,tt0108071,11236
533,tt0111143,8850
534,tt0108101,10445
535,tt0108122,695
539,tt0108160,858
540,tt0108162,867
541,tt0083658,78
542,tt0108186,13203
543,tt0108174,10442
546,tt0108255,9607
548,tt0111400,9057
551,tt0107688,9479
552,tt0108333,10057
553,tt0108358,11969
555,tt0108399,319
558,tt0110763,15139
562,tt0114906,11446
569,tt0110363,31504
575,tt0110366,10897
577,tt0109120,21352
585,tt0112572,9066
586,tt0099785,771
587,tt0099653,251
588,tt0103639,812
589,tt0103064,280
590,tt0099348,581
592,tt0096895,268
593,tt0102926,274
594,tt0029583,408
595,tt0101414,10020
596,tt0032910,10895
597,tt0100405,114
605,tt0117247,7300
608,tt0116282,275
609,tt0116552,25059
610,tt0082509,11827
612,tt0117283,23570
618,tt0118001,46029
627,tt0113613,12520
628,tt0117381,1592
630,tt0115837,36447
631,tt0115509,19042
635,tt0116275,41852
637,tt0117608,9099
640,tt0116095,10988
647,tt0115956,10684
648,tt0117060,954
653,tt0116136,8840
