movieId,title,year,genres
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji,1995,Adventure|Children|Fantasy
3,Grumpier Old Men,1995,Comedy|Romance
4,Waiting to Exhale,1995,Comedy|Drama|Romance
5,Father of the Bride Part II,1995,Comedy
6,Heat,1995,Action|Crime|Thriller
7,Sabrina,1995,Comedy|Romance
8,Tom and Huck,1995,Adventure|Children
9,Sudden Death,1995,Action
10,GoldenEye,1995,Action|Adventure|Thriller
11,"American President, The",1995,Comedy|Drama|Romance
12,Dracula: Dead and Loving It,1995,Comedy|Horror
13,Balto,1995,Adventure|Animation|Children
14,Nixon,1995,Drama
15,Cutthroat Island,1995,Action|Adventure|Romance
16,Casino,1995,Crime|Drama
17,Sense and Sensibility,1995,Drama|Romance
18,Four Rooms,1995,Comedy
19,Ace Ventura: When Nature Calls,1995,Comedy
21,Get Shorty,1995,Comedy|Crime|Thriller
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller
23,Assassins,1995,Action|Crime|Thriller
24,Powder,1995,Drama|Sci-Fi
25,Leaving Las Vegas,1995,Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi
31,Dangerous Minds,1995,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller
34,Babe,1995,Children|Drama
36,Dead Man Walking,1995,Crime|Drama
39,Clueless,1995,Comedy|Romance
41,Richard III,1995,Drama|War
42,Dead Presidents,1995,Action|Crime|Drama
43,Restoration,1995,Drama
44,Mortal Kombat,1995,Action|Adventure|Fantasy
45,To Die For,1995,Comedy|Drama|Thriller
46,How to Make an American Quilt,1995,Drama|Romance
47,Seven (a.k.a. Se7en),1995,Mystery|Thriller
48,Pocahontas,1995,Animation|Children|Drama|Musical|Romance
50,"Usual Suspects, The",1995,Crime|Mystery|Thriller
52,Mighty Aphrodite,1995,Comedy|Drama|Romance
58,"Postman, The (Postino, Il)",1994,Comedy|Drama|Romance
60,"Indian in the Cupboard, The",1995,Adventure|Children|Fantasy
61,Eye for an Eye,1996,Drama|Thriller
62,Mr. Holland's Opus,1995,Drama
64,Two if by Sea,1996,Comedy|Romance
65,Bio-Dome,1996,Comedy
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller
69,Friday,1995,Comedy
70,From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller
73,"Misérables, Les",1995,Drama|War
74,Bed of Roses,1996,Drama|Romance
76,Screamers,1995,Action|Sci-Fi|Thriller
79,"Juror, The",1996,Drama|Thriller
86,White Squall,1996,Action|Adventure|Drama
88,Black Sheep,1996,Comedy
93,Vampire in Brooklyn,1995,Comedy|Horror|Romance
94,Beautiful Girls,1996,Comedy|Drama|Romance
95,Broken Arrow,1996,Action|Adventure|Thriller
97,"Hate (Haine, La)",1995,Crime|Drama
99,Heidi Fleiss: Hollywood Madam,1995,Documentary
100,City Hall,1996,Drama|Thriller
102,Mr. Wrong,1996,Comedy
104,Happy Gilmore,1996,Comedy
105,"Bridges of Madison County, The",1995,Drama|Romance
107,Muppet Treasure Island,1996,Adventure|Children|Comedy|Musical
110,Braveheart,1995,Action|Drama|War
111,Taxi Driver,1976,Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui),1995,Action|Adventure|Comedy|Crime
122,Boomerang,1992,Comedy|Romance
123,Chungking Express (Chung Hing sam lam),1994,Drama|Mystery|Romance
125,Flirting With Disaster,1996,Comedy
126,"NeverEnding Story III, The",1994,Adventure|Children|Fantasy
135,Down Periscope,1996,Comedy
140,Up Close and Personal,1996,Drama|Romance
141,"Birdcage, The",1996,Comedy
144,"Brothers McMullen, The",1995,Comedy
145,Bad Boys,1995,Action|Comedy|Crime|Drama|Thriller
147,"Basketball Diaries, The",1995,Drama
150,Apollo 13,1995,Adventure|Drama|IMAX
151,Rob Roy,1995,Action|Drama|Romance|War
153,Batman Forever,1995,Action|Adventure|Comedy|Crime
157,Canadian Bacon,1995,Comedy|War
158,Casper,1995,Adventure|Children
160,Congo,1995,Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide,1995,Drama|Thriller|War
162,Crumb,1994,Documentary
163,Desperado,1995,Action|Romance|Western
164,Devil in a Blue Dress,1995,Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance,1995,Action|Crime|Thriller
168,First Knight,1995,Action|Drama|Romance
169,Free Willy 2: The Adventure Home,1995,Adventure|Children|Drama
170,Hackers,1995,Action|Adventure|Crime|Thriller
172,Johnny Mnemonic,1995,Action|Sci-Fi|Thriller
173,Judge Dredd,1995,Action|Crime|Sci-Fi
175,Kids,1995,Drama
181,Mighty Morphin Power Rangers: The Movie,1995,Action|Children
185,"Net, The",1995,Action|Crime|Thriller
186,Nine Months,1995,Comedy|Romance
188,"Prophecy, The",1995,Fantasy|Horror|Mystery
189,Reckless,1995,Comedy|Fantasy
191,"Scarlet Letter, The",1995,Drama|Romance
193,Showgirls,1995,Drama
196,Species,1995,Horror|Sci-Fi
198,Strange Days,1995,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy
204,Under Siege 2: Dark Territory,1995,Action
205,Unstrung Heroes,1995,Comedy|Drama
207,"Walk in the Clouds, A",1995,Drama|Romance
208,Waterworld,1995,Action|Adventure|Sci-Fi
213,Burnt by the Sun (Utomlyonnye solntsem),1994,Drama
215,Before Sunrise,1995,Drama|Romance
222,Circle of Friends,1995,Drama|Romance
223,Clerks,1994,Comedy
224,Don Juan DeMarco,1995,Comedy|Drama|Romance
225,Disclosure,1994,Drama|Thriller
227,Drop Zone,1994,Action|Thriller
230,Dolores Claiborne,1995,Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber),1994,Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu),1994,Comedy|Drama|Romance
233,Exotica,1994,Drama
235,Ed Wood,1994,Comedy|Drama
236,French Kiss,1995,Action|Comedy|Romance
239,"Goofy Movie, A",1995,Animation|Children|Comedy|Romance
246,Hoop Dreams,1994,Documentary
247,Heavenly Creatures,1994,Crime|Drama
249,Immortal Beloved,1994,Drama|Romance
252,I.Q.,1994,Comedy|Romance
253,Interview with the Vampire: The Vampire Chronicles,1994,Drama|Horror
256,Junior,1994,Comedy|Sci-Fi
258,"Kid in King Arthur's Court, A",1995,Adventure|Children|Comedy|Fantasy|Romance
260,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Sci-Fi
261,Little Women,1994,Drama
262,"Little Princess, A",1995,Children|Drama
265,Like Water for Chocolate (Como agua para chocolate),1992,Drama|Fantasy|Romance
266,Legends of the Fall,1994,Drama|Romance|War|Western
271,Losing Isaiah,1995,Drama
277,Miracle on 34th Street,1994,Drama
280,Murder in the First,1995,Drama|Thriller
281,Nobody's Fool,1994,Comedy|Drama|Romance
282,Nell,1994,Drama
288,Natural Born Killers,1994,Action|Crime|Thriller
290,Once Were Warriors,1994,Crime|Drama
292,Outbreak,1995,Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon),1994,Action|Crime|Drama|Thriller
296,Pulp Fiction,1994,Comedy|Crime|Drama|Thriller
299,Priest,1994,Drama
300,Quiz Show,1994,Drama
303,"Quick and the Dead, The",1995,Action|Thriller|Western
306,Three Colors: Red (Trois couleurs: Rouge),1994,Drama
307,Three Colors: Blue (Trois couleurs: Bleu),1993,Drama
308,Three Colors: White (Trzy kolory: Bialy),1994,Comedy|Drama
313,"Swan Princess, The",1994,Animation|Children
315,"Specialist, The",1994,Action|Drama|Thriller
316,Stargate,1994,Action|Adventure|Sci-Fi
317,"Santa Clause, The",1994,Comedy|Drama|Fantasy
318,"Shawshank Redemption, The",1994,Crime|Drama
319,Shallow Grave,1994,Comedy|Drama|Thriller
322,Swimming with Sharks,1995,Comedy|Drama
325,National Lampoon's Senior Trip,1995,Comedy
326,To Live (Huozhe),1994,Drama
327,Tank Girl,1995,Action|Comedy|Sci-Fi
328,Tales from the Crypt Presents: Demon Knight,1995,Horror|Thriller
329,Star Trek: Generations,1994,Adventure|Drama|Sci-Fi
332,Village of the Damned,1995,Horror|Sci-Fi
333,Tommy Boy,1995,Comedy
334,Vanya on 42nd Street,1994,Drama
337,What's Eating Gilbert Grape,1993,Drama
338,Virtuosity,1995,Action|Sci-Fi|Thriller
339,While You Were Sleeping,1995,Comedy|Romance
340,"War, The",1994,Adventure|Drama|War
342,Muriel's Wedding,1994,Comedy
343,"Baby-Sitters Club, The",1995,Children
344,Ace Ventura: Pet Detective,1994,Comedy
345,"Adventures of Priscilla, Queen of the Desert, The",1994,Comedy|Drama
348,Bullets Over Broadway,1994,Comedy
349,Clear and Present Danger,1994,Action|Crime|Drama|Thriller
350,"Client, The",1994,Drama|Mystery|Thriller
353,"Crow, The",1994,Action|Crime|Fantasy|Thriller
355,"Flintstones, The",1994,Children|Comedy|Fantasy
356,Forrest Gump,1994,Comedy|Drama|Romance|War
357,Four Weddings and a Funeral,1994,Comedy|Romance
360,I Love Trouble,1994,Action|Comedy
361,It Could Happen to You,1994,Comedy|Drama|Romance
362,"Jungle Book, The",1994,Adventure|Children|Romance
364,"Lion King, The",1994,Adventure|Animation|Children|Drama|Musical|IMAX
367,"Mask, The",1994,Action|Comedy|Crime|Fantasy
368,Maverick,1994,Adventure|Comedy|Western
370,Naked Gun 33 1/3: The Final Insult,1994,Action|Comedy
371,"Paper, The",1994,Comedy|Drama
372,Reality Bites,1994,Comedy|Drama|Romance
374,Richie Rich,1994,Children|Comedy
376,"River Wild, The",1994,Action|Thriller
377,Speed,1994,Action|Romance|Thriller
379,Timecop,1994,Action|Sci-Fi|Thriller
380,True Lies,1994,Action|Adventure|Comedy|Romance|Thriller
382,Wolf,1994,Drama|Horror|Romance|Thriller
383,Wyatt Earp,1994,Western
388,Boys Life,1995,Drama
393,Street Fighter,1994,Action|Adventure|Fantasy
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),1994,Action|Fantasy
410,Addams Family Values,1993,Children|Comedy|Fantasy
412,"Age of Innocence, The",1993,Drama
414,"Air Up There, The",1994,Comedy
415,Another Stakeout,1993,Comedy|Thriller
419,"Beverly Hillbillies, The",1993,Comedy
420,Beverly Hills Cop III,1994,Action|Comedy|Crime|Thriller
423,Blown Away,1994,Action|Thriller
425,Blue Sky,1994,Drama|Romance
426,Body Snatchers,1993,Horror|Sci-Fi|Thriller
427,Boxing Helena,1993,Drama|Mystery|Romance|Thriller
428,"Bronx Tale, A",1993,Drama
429,Cabin Boy,1994,Comedy
431,Carlito's Way,1993,Crime|Drama
432,City Slickers II: The Legend of Curly's Gold,1994,Adventure|Comedy|Western
434,Cliffhanger,1993,Action|Adventure|Thriller
435,Coneheads,1993,Comedy|Sci-Fi
437,Cops and Robbersons,1994,Comedy
440,Dave,1993,Comedy|Romance
441,Dazed and Confused,1993,Comedy
442,Demolition Man,1993,Action|Adventure|Sci-Fi
445,Fatal Instinct,1993,Comedy
448,Fearless,1993,Drama
451,Flesh and Bone,1993,Drama|Mystery|Romance
453,For Love or Money,1993,Comedy|Romance
454,"Firm, The",1993,Drama|Thriller
455,Free Willy,1993,Adventure|Children|Drama
456,Fresh,1994,Crime|Drama|Thriller
457,"Fugitive, The",1993,Thriller
459,"Getaway, The",1994,Action|Adventure|Crime|Drama|Romance|Thriller
464,Hard Target,1993,Action|Adventure|Crime|Thriller
466,Hot Shots! Part Deux,1993,Action|Comedy|War
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,Comedy|Romance
471,"Hudsucker Proxy, The",1994,Comedy
473,In the Army Now,1994,Comedy|War
474,In the Line of Fire,1993,Action|Thriller
475,In the Name of the Father,1993,Drama
477,What's Love Got to Do with It?,1993,Drama|Musical
480,Jurassic Park,1993,Action|Adventure|Sci-Fi|Thriller
481,Kalifornia,1993,Drama|Thriller
485,Last Action Hero,1993,Action|Adventure|Comedy|Fantasy
487,Lightning Jack,1994,Comedy|Western
489,Made in America,1993,Comedy
490,Malice,1993,Thriller
491,"Man Without a Face, The",1993,Drama
492,Manhattan Murder Mystery,1993,Comedy|Mystery
493,Menace II Society,1993,Action|Crime|Drama
494,Executive Decision,1996,Action|Adventure|Thriller
497,Much Ado About Nothing,1993,Comedy|Romance
500,Mrs. Doubtfire,1993,Comedy|Drama
504,No Escape,1994,Action|Drama|Sci-Fi
507,"Perfect World, A",1993,Crime|Drama|Thriller
508,Philadelphia,1993,Drama
509,"Piano, The",1993,Drama|Romance
511,"Program, The",1993,Action|Drama
515,"Remains of the Day, The",1993,Drama|Romance
517,Rising Sun,1993,Action|Drama|Mystery
519,RoboCop 3,1993,Action|Crime|Drama|Sci-Fi|Thriller
520,Robin Hood: Men in Tights,1993,Comedy
522,Romper Stomper,1992,Action|Drama
524,Rudy,1993,Drama
527,Schindler's List,1993,Drama|War
528,"Scout, The",1994,Comedy|Drama
529,Searching for Bobby Fischer,1993,Drama
531,"Secret Garden, The",1993,Children|Drama
533,"Shadow, The",1994,Action|Adventure|Fantasy|Mystery
534,Shadowlands,1993,Drama|Romance
535,Short Cuts,1993,Drama
539,Sleepless in Seattle,1993,Comedy|Drama|Romance
540,Sliver,1993,Thriller
541,Blade Runner,1982,Action|Sci-Fi|Thriller
542,Son in Law,1993,Comedy|Drama|Romance
543,So I Married an Axe Murderer,1993,Comedy|Romance|Thriller
546,Super Mario Bros.,1993,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
548,Terminal Velocity,1994,Action|Mystery|Thriller
551,"Nightmare Before Christmas, The",1993,Animation|Children|Fantasy|Musical
